epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6176.61,1.01553,0.44401,1.03021,0.98054,0.94396,0.9737,0.70356,1.06071,0.39866,1.04665,0.000614,0.000614,0.000614
44,6321.39,1.01479,0.43759,1.03042,0.98305,0.94214,0.97273,0.71069,1.05686,0.39947,1.04636,0.000581,0.000581,0.000581
45,6464.53,1.00195,0.43245,1.02231,0.98448,0.94396,0.97458,0.70964,1.05717,0.39406,1.04321,0.000548,0.000548,0.000548
46,6607.69,0.9967,0.42517,1.01938,0.98574,0.94463,0.97453,0.70709,1.0551,0.39284,1.04056,0.000515,0.000515,0.000515
47,6751.49,1.00633,0.42631,1.02364,0.9788,0.94644,0.97348,0.70952,1.05054,0.38954,1.03865,0.000482,0.000482,0.000482
48,6894.31,0.99167,0.42448,1.01885,0.98303,0.94487,0.97327,0.71031,1.04787,0.38747,1.04064,0.000449,0.000449,0.000449
49,7036.78,0.98853,0.41592,1.01763,0.98485,0.94802,0.97557,0.71072,1.05334,0.38601,1.03823,0.000416,0.000416,0.000416
50,7179.44,0.99233,0.41682,1.01762,0.98678,0.9467,0.97572,0.71437,1.05079,0.3842,1.03965,0.000383,0.000383,0.000383
51,7321.06,0.98562,0.37941,1.02597,0.98339,0.94417,0.97279,0.70694,1.05479,0.39062,1.04222,0.00035,0.00035,0.00035
52,7462.55,0.97624,0.37353,1.02074,0.98246,0.94438,0.97492,0.71314,1.05062,0.38658,1.04,0.000317,0.000317,0.000317
53,7602.27,0.96761,0.37004,1.0204,0.98158,0.94679,0.97488,0.71128,1.05135,0.38859,1.0379,0.000284,0.000284,0.000284
54,7740.45,0.95788,0.36468,1.01149,0.98185,0.94989,0.97542,0.71285,1.04601,0.38494,1.03683,0.000251,0.000251,0.000251
55,7879.74,0.95967,0.36975,1.01482,0.98622,0.94524,0.9758,0.71496,1.04858,0.38559,1.03869,0.000218,0.000218,0.000218
56,8019.75,0.95043,0.35946,1.01384,0.98893,0.94351,0.976,0.71532,1.04777,0.38632,1.04083,0.000185,0.000185,0.000185
57,8159.81,0.94678,0.35618,1.01151,0.98547,0.94305,0.97595,0.7151,1.04725,0.38354,1.04078,0.000152,0.000152,0.000152
58,8298.88,0.94171,0.35176,1.01016,0.97969,0.9508,0.97615,0.71554,1.04838,0.38267,1.03871,0.000119,0.000119,0.000119
59,8438.69,0.93423,0.34662,1.0034,0.98066,0.94691,0.97441,0.71402,1.04918,0.38132,1.03885,8.6e-05,8.6e-05,8.6e-05
60,8578.5,0.93689,0.34638,1.0026,0.99087,0.93989,0.97551,0.71665,1.04526,0.38126,1.03791,5.3e-05,5.3e-05,5.3e-05
